model_name,Class,True_Positives,False_Positives,False_Negatives,True_Negatives,Precision,Recall,F1_Score
lenet,Cherry_(including_sour)___Powdery_mildew,203,3,3,10652,0.9854368932038836,0.9854368932038836,0.9854368932038836
lenet,Cherry_(including_sour)___healthy,173,2,3,10683,0.9885714285714284,0.9829545454545454,0.9857549857549858
lenet,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,88,9,22,10742,0.9072164948453608,0.8,0.8502415458937198
lenet,Corn_(maize)___Common_rust_,232,1,2,10626,0.9957081545064378,0.9914529914529916,0.9935760171306208
lenet,Corn_(maize)___Northern_Leaf_Blight,174,23,9,10655,0.883248730964467,0.9508196721311476,0.9157894736842104
lenet,Corn_(maize)___healthy,236,5,1,10619,0.979253112033195,0.9957805907172996,0.98744769874477
lenet,Grape___Black_rot,233,6,8,10614,0.9748953974895398,0.966804979253112,0.9708333333333332
lenet,Grape___Esca_(Black_Measles),304,5,4,10548,0.9838187702265372,0.987012987012987,0.985413290113452
lenet,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),229,6,2,10624,0.9744680851063828,0.9913419913419912,0.9828326180257512
lenet,Grape___healthy,81,1,2,10777,0.9878048780487804,0.9759036144578314,0.9818181818181818
lenet,Orange___Haunglongbing_(Citrus_greening),1056,2,2,9801,0.998109640831758,0.998109640831758,0.998109640831758
lenet,Peach___Bacterial_spot,411,6,12,10432,0.9856115107913668,0.9716312056737588,0.9785714285714284
lenet,Peach___healthy,72,3,0,10786,0.96,1.0,0.979591836734694
lenet,"Pepper,_bell___Bacterial_spot",172,3,4,10682,0.9828571428571428,0.9772727272727272,0.98005698005698
lenet,"Pepper,_bell___healthy",283,10,9,10559,0.9658703071672357,0.9691780821917808,0.9675213675213676
lenet,Potato___Early_blight,210,8,6,10637,0.963302752293578,0.9722222222222222,0.9677419354838712
lenet,Potato___Late_blight,205,14,8,10634,0.9360730593607306,0.9624413145539906,0.9490740740740742
lenet,Potato___healthy,27,2,4,10828,0.9310344827586208,0.8709677419354839,0.9
lenet,Raspberry___healthy,71,3,1,10786,0.9594594594594594,0.9861111111111112,0.9726027397260274
lenet,Soybean___healthy,1030,13,7,9811,0.987535953978907,0.9932497589199616,0.9903846153846154
lenet,Squash___Powdery_mildew,373,7,7,10474,0.9815789473684212,0.9815789473684212,0.9815789473684212
lenet,Strawberry___Leaf_scorch,206,4,4,10647,0.9809523809523808,0.9809523809523808,0.9809523809523808
lenet,Strawberry___healthy,97,3,2,10759,0.97,0.9797979797979798,0.9748743718592964
lenet,Tomato___Bacterial_spot,419,9,9,10424,0.9789719626168224,0.9789719626168224,0.9789719626168224
lenet,Tomato___Early_blight,157,17,24,10663,0.9022988505747126,0.8674033149171271,0.8845070422535212
lenet,Tomato___Late_blight,370,23,35,10433,0.9414758269720102,0.9135802469135802,0.9273182957393484
lenet,Tomato___Leaf_Mold,171,14,9,10667,0.9243243243243244,0.95,0.9369863013698628
lenet,Tomato___Septoria_leaf_spot,345,15,20,10481,0.9583333333333334,0.9452054794520548,0.9517241379310344
lenet,Tomato___Spider_mites Two-spotted_spider_mite,319,11,16,10515,0.9666666666666668,0.9522388059701492,0.9593984962406014
lenet,Tomato___Target_Spot,273,16,11,10561,0.944636678200692,0.9612676056338028,0.9528795811518324
lenet,Tomato___Tomato_Yellow_Leaf_Curl_Virus,1059,8,2,9792,0.9925023430178068,0.998114985862394,0.9953007518796992
lenet,Tomato___Tomato_mosaic_virus,70,3,0,10788,0.958904109589041,1.0,0.9790209790209792
lenet,Tomato___healthy,315,4,1,10541,0.987460815047022,0.9968354430379748,0.9921259842519684
mobilenetv2,Apple___Apple_scab,127,2,5,10727,0.9844961240310076,0.9621212121212122,0.9731800766283524
mobilenetv2,Apple___Black_rot,127,1,0,10733,0.9921875,1.0,0.996078431372549
mobilenetv2,Apple___Cedar_apple_rust,45,0,2,10814,1.0,0.9574468085106383,0.9782608695652174
mobilenetv2,Apple___healthy,330,2,4,10525,0.993975903614458,0.9880239520958084,0.990990990990991
mobilenetv2,Blueberry___healthy,307,1,1,10552,0.9967532467532468,0.9967532467532468,0.9967532467532468
mobilenetv2,Cherry_(including_sour)___Powdery_mildew,206,1,0,10654,0.9951690821256038,1.0,0.9975786924939468
mobilenetv2,Cherry_(including_sour)___healthy,174,1,2,10684,0.9942857142857144,0.9886363636363636,0.9914529914529916
mobilenetv2,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,99,12,11,10739,0.8918918918918919,0.9,0.8959276018099547
mobilenetv2,Corn_(maize)___Common_rust_,233,0,1,10627,1.0,0.9957264957264956,0.9978586723768736
mobilenetv2,Corn_(maize)___Northern_Leaf_Blight,174,12,9,10666,0.935483870967742,0.9508196721311476,0.943089430894309
mobilenetv2,Corn_(maize)___healthy,237,1,0,10623,0.9957983193277312,1.0,0.9978947368421052
mobilenetv2,Grape___Black_rot,241,2,0,10618,0.9917695473251028,1.0,0.9958677685950412
mobilenetv2,Grape___Esca_(Black_Measles),308,1,0,10552,0.9967637540453076,1.0,0.9983792544570502
mobilenetv2,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),229,0,2,10630,1.0,0.9913419913419912,0.9956521739130434
mobilenetv2,Grape___healthy,81,1,2,10777,0.9878048780487804,0.9759036144578314,0.9818181818181818
